Ejecta Mass [M_sol],Ejecta Velocity [c],Electron Fraction
0.015,0.175,0.15
0.015,0.175,0.175
0.015,0.175,0.2
0.015,0.175,0.225
0.015,0.175,0.25
0.015,0.175,0.3
0.015,0.175,0.35
0.015,0.175,0.4
0.02,0.175,0.15
0.02,0.175,0.175
0.02,0.175,0.2
0.02,0.175,0.225
0.02,0.175,0.25
0.02,0.175,0.3
0.02,0.175,0.35
0.02,0.175,0.4
0.03,0.175,0.15
0.03,0.175,0.175
0.03,0.175,0.2
0.03,0.175,0.225
0.03,0.175,0.25
0.03,0.175,0.3
0.03,0.175,0.35
0.03,0.175,0.4
0.04,0.175,0.15
0.04,0.175,0.175
0.04,0.175,0.2
0.04,0.175,0.225
0.04,0.175,0.25
0.04,0.175,0.3
0.04,0.175,0.35
0.04,0.175,0.4
0.05,0.175,0.15
0.05,0.175,0.175
0.05,0.175,0.2
0.05,0.175,0.225
0.05,0.175,0.25
0.05,0.175,0.3
0.05,0.175,0.35
0.05,0.175,0.4
0.06,0.175,0.15
0.06,0.175,0.175
0.06,0.175,0.2
0.06,0.175,0.225
0.06,0.175,0.25
0.06,0.175,0.3
0.06,0.175,0.35
0.06,0.175,0.4
0.07,0.175,0.15
0.07,0.175,0.175
0.07,0.175,0.2
0.07,0.175,0.225
0.07,0.175,0.25
0.07,0.175,0.3
0.07,0.175,0.35
0.07,0.175,0.4
0.08,0.175,0.15
0.08,0.175,0.175
0.08,0.175,0.2
0.08,0.175,0.225
0.08,0.175,0.25
0.08,0.175,0.3
0.08,0.175,0.35
0.08,0.175,0.4
0.015,0.2,0.15
0.015,0.2,0.175
0.015,0.2,0.2
0.015,0.2,0.225
0.015,0.2,0.25
0.015,0.2,0.3
0.015,0.2,0.35
0.015,0.2,0.4
0.02,0.2,0.15
0.02,0.2,0.175
0.02,0.2,0.2
0.02,0.2,0.225
0.02,0.2,0.25
0.02,0.2,0.3
0.02,0.2,0.35
0.02,0.2,0.4
0.03,0.2,0.175
0.03,0.2,0.225
0.04,0.2,0.15
