Ejecta Mass [M_sol],Ejecta Velocity [c],Electron Fraction
0.02,0.2,0.15
0.02,0.2,0.175
0.02,0.2,0.2
0.02,0.2,0.225
0.02,0.2,0.25
0.02,0.2,0.3
0.02,0.2,0.35
0.02,0.2,0.4
0.03,0.2,0.175
0.03,0.2,0.225
0.05,0.2,0.175
0.05,0.2,0.225
0.065,0.2,0.15
0.065,0.2,0.175
0.065,0.2,0.2
0.065,0.2,0.225
0.065,0.2,0.25
0.065,0.2,0.3
0.065,0.2,0.35
0.065,0.2,0.4
0.08,0.2,0.175
0.08,0.2,0.225
0.01,0.25,0.15
0.01,0.25,0.175
0.01,0.25,0.2
0.01,0.25,0.225
0.01,0.25,0.25
0.01,0.25,0.3
0.01,0.25,0.35
0.01,0.25,0.4
0.02,0.25,0.15
0.02,0.25,0.175
0.02,0.25,0.2
0.02,0.25,0.225
0.02,0.25,0.25
0.02,0.25,0.3
0.02,0.25,0.35
0.02,0.25,0.4
0.03,0.25,0.15
0.03,0.25,0.175
0.03,0.25,0.2
0.03,0.25,0.225
0.03,0.25,0.25
0.03,0.25,0.3
0.03,0.25,0.35
0.03,0.25,0.4
0.05,0.25,0.15
0.05,0.25,0.175
0.05,0.25,0.2
0.05,0.25,0.225
0.05,0.25,0.25
0.05,0.25,0.3
0.05,0.25,0.35
0.05,0.25,0.4
0.065,0.25,0.15
0.065,0.25,0.175
0.065,0.25,0.2
0.065,0.25,0.225
0.065,0.25,0.25
0.065,0.25,0.3
0.065,0.25,0.35
0.065,0.25,0.4
0.08,0.25,0.15
0.08,0.25,0.175
0.08,0.25,0.2
0.08,0.25,0.225
0.08,0.25,0.25
0.08,0.25,0.3
0.08,0.25,0.35
0.08,0.25,0.4
0.002,0.3,0.175
0.002,0.3,0.225
0.01,0.3,0.175
0.01,0.3,0.225
0.02,0.3,0.15
0.02,0.3,0.175
0.02,0.3,0.2
0.02,0.3,0.225
0.02,0.3,0.25
0.02,0.3,0.3
0.02,0.3,0.35
0.02,0.3,0.4
0.03,0.3,0.175
0.03,0.3,0.225
0.05,0.3,0.175
0.05,0.3,0.225
0.01,0.35,0.15
0.01,0.35,0.175
0.01,0.35,0.2
0.01,0.35,0.225
0.01,0.35,0.25
0.01,0.35,0.3
0.01,0.35,0.35
0.01,0.35,0.4
0.01,0.4,0.175
0.01,0.4,0.225
