,sim,m_ej,v_ej,Y_e,kappa,negative_sigma_kappa,positive_sigma_kappa,chi_sq_dof,dof,sigma_kappa
0,SA1_m002_v05_Ye05_spec_2020-07-01.dat,0.002,0.05,0.05,38.5276490470721,0.07130257135703744,0.05704205708563137,3.855739943571911,25805,0.0641723142213344
1,SA1_m002_v05_Ye10_spec_2020-07-01.dat,0.002,0.05,0.1,36.09710884948256,0.05392448820087026,0.04977645064695935,5.009083408363469,25805,0.0518504694239148
2,SA1_m002_v05_Ye15_spec_2020-07-01.dat,0.002,0.05,0.15,41.54801695698868,0.061835529522873856,0.030917764761433375,6.140503855316097,25805,0.046376647142153615
3,SA1_m002_v05_Ye20_spec_2020-07-01.dat,0.002,0.05,0.2,2.3929510206827054,0.002651651729246307,0.0008838839097489171,88.19130427969941,25805,0.001767767819497612
4,SA1_m002_v05_Ye25_spec_2020-07-01.dat,0.002,0.05,0.25,1.18003384161252,0.0013077874533671263,0.00043592915112244945,237.12056408560278,25805,0.0008718583022447879
5,SA1_m002_v05_Ye30_spec_2020-07-01.dat,0.002,0.05,0.3,0.9478374230577801,0.0006990961036583698,0.0003495480518291849,223.58451468500405,25805,0.0005243220777437774
6,SA1_m002_v05_Ye35_spec_2020-07-01.dat,0.002,0.05,0.35,1.3951972671914041,0.0012818585202047927,0.0009613938901535946,224.63748814592122,25805,0.0011216262051791936
7,SA1_m002_v05_Ye40_spec_2020-07-01.dat,0.002,0.05,0.4,2.175033360964112,0.0024172311436143623,0.0016114874290766856,76.5217864369952,25805,0.002014359286345524
8,SA1_m002_v05_Ye45_spec_2020-07-01.dat,0.002,0.05,0.45,0.010992746821134781,3.05804805909287e-05,2.9834615210661344e-05,3.960282134101369,25805,3.0207547900795023e-05
9,SA1_m002_v05_Ye50_spec_2020-07-01.dat,0.002,0.05,0.5,1.6762450125826054,0.0012347128659373485,0.0006173564329687853,516.8962498190568,25805,0.0009260346494530669
10,SA1_m002_v10_Ye05_spec_2020-07-01.dat,0.002,0.1,0.05,89.22528366595917,0.165397263006966,0.13231781040558133,1.8811156422565305,25805,0.14885753670627366
11,SA1_m002_v10_Ye10_spec_2020-07-01.dat,0.002,0.1,0.1,67.87321127400037,0.10945761741484716,0.0938208149270281,2.225379306109693,25805,0.10163921617093763
12,SA1_m002_v10_Ye15_spec_2020-07-01.dat,0.002,0.1,0.15,112.39526432528586,0.20827513774145245,0.12496508264487716,2.2562267694703313,25805,0.1666201101931648
