,Unnamed: 0,sim,m_ej,v_ej,Y_e,kappa,negative_sigma_kappa,positive_sigma_kappa,chi_sq_dof,dof,sigma_kappa
1,1,SA1_m002_v05_Ye15_spec_2020-07-01.dat,0.002,0.05,0.15,41.54522805177152,8.309045610354303,8.309045610354303,5.90879218468855,26817,8.309045610354303
2,2,SA1_m002_v05_Ye20_spec_2020-07-01.dat,0.002,0.05,0.2,2.393101856051976,0.47862037121039525,0.47862037121039525,84.86318230021912,26817,0.47862037121039525
3,3,SA1_m002_v05_Ye25_spec_2020-07-01.dat,0.002,0.05,0.25,1.1798517029165838,0.23597034058331678,0.23597034058331678,228.1722166248641,26817,0.23597034058331678
4,4,SA1_m002_v05_Ye30_spec_2020-07-01.dat,0.002,0.05,0.3,0.9479607147286732,0.18959214294573465,0.18959214294573465,215.14693293616008,26817,0.18959214294573465
5,5,SA1_m002_v05_Ye35_spec_2020-07-01.dat,0.002,0.05,0.35,1.3952036591365782,0.27904073182731565,0.27904073182731565,216.16018791684,26817,0.27904073182731565
6,6,SA1_m002_v05_Ye40_spec_2020-07-01.dat,0.002,0.05,0.4,2.175387779283056,0.43507755585661123,0.43507755585661123,73.6340166953933,26817,0.43507755585661123
8,8,SA1_m002_v10_Ye15_spec_2020-07-01.dat,0.002,0.1,0.15,112.39644190656624,22.47928838131325,22.47928838131325,2.2128360523567814,26311,22.47928838131325
9,9,SA1_m002_v10_Ye20_spec_2020-07-01.dat,0.002,0.1,0.2,11.138039558158576,2.2276079116317153,2.2276079116317153,13.952418106553653,26311,2.2276079116317153
10,10,SA1_m002_v10_Ye25_spec_2020-07-01.dat,0.002,0.1,0.25,0.7096796198798273,0.14193592397596547,0.14193592397596547,162.15140290958144,26311,0.14193592397596547
11,11,SA1_m002_v10_Ye30_spec_2020-07-01.dat,0.002,0.1,0.3,1.0854442410305862,0.21708884820611726,0.21708884820611726,127.49308135395896,26311,0.21708884820611726
12,12,SA1_m002_v10_Ye35_spec_2020-07-01.dat,0.002,0.1,0.35,0.6081800152036478,0.12163600304072958,0.12163600304072958,104.84760150378722,26311,0.12163600304072958
13,13,SA1_m002_v10_Ye40_spec_2020-07-01.dat,0.002,0.1,0.4,4.029947217076893,0.8059894434153787,0.8059894434153787,41.73412239457829,26311,0.8059894434153787
15,15,SA1_m002_v20_Ye15_spec_2020-07-01.dat,0.002,0.2,0.15,181.67995495800287,36.335990991600575,36.335990991600575,0.7738990434733395,24793,36.335990991600575
16,16,SA1_m002_v20_Ye20_spec_2020-07-01.dat,0.002,0.2,0.2,32.98306746828671,6.596613493657343,6.596613493657343,15.684247091380254,24793,6.596613493657343
