,m_ej,v_ej,Y_e,kappa,sigma_kappa
22,0.002,0.15,0.15,277.54515663119395,55.50903132623879
23,0.002,0.15,0.2,97.14013318726474,19.428026637452948
24,0.002,0.15,0.25,64.98332275038459,12.996664550076918
25,0.002,0.15,0.3,18.87168878511261,3.774337757022522
26,0.002,0.15,0.35,17.1637218530781,3.4327443706156204
27,0.002,0.15,0.4,27.18016090135821,5.436032180271642
32,0.002,0.2,0.15,584.2350882631023,116.84701765262047
33,0.002,0.2,0.2,116.74373316525876,23.348746633051753
34,0.002,0.2,0.25,196.36095143012648,39.2721902860253
35,0.002,0.2,0.3,26.45779589804401,5.291559179608803
36,0.002,0.2,0.35,32.37130082694351,6.474260165388703
37,0.002,0.2,0.4,58.447338038217794,11.689467607643559
42,0.002,0.3,0.15,691.8584867450587,138.37169734901175
43,0.002,0.3,0.2,247.72915368449185,49.545830736898374
44,0.002,0.3,0.25,64.36226249006876,12.872452498013752
45,0.002,0.3,0.3,32.88454666496215,6.576909332992431
46,0.002,0.3,0.35,66.47787460453199,13.295574920906398
47,0.002,0.3,0.4,81.11259207902151,16.222518415804302
52,0.002,0.4,0.15,1012.1726688634196,202.43453377268395
53,0.002,0.4,0.2,618.4411780775004,123.68823561550008
54,0.002,0.4,0.25,368.6304710105615,73.72609420211231
55,0.002,0.4,0.3,65.69729103965105,13.139458207930211
56,0.002,0.4,0.35,179.47074398995096,35.89414879799019
57,0.002,0.4,0.4,372.2638796731764,74.45277593463528
82,0.01,0.15,0.15,162.40536841314142,32.481073682628285
83,0.01,0.15,0.2,42.26947499026014,8.453894998052029
84,0.01,0.15,0.25,2.8679461303150453,0.5735892260630091
85,0.01,0.15,0.3,4.675675349949047,0.9351350699898093
86,0.01,0.15,0.35,3.618130661506141,0.7236261323012282
87,0.01,0.15,0.4,3.48862589415297,0.697725178830594
92,0.01,0.2,0.15,296.2412807414443,59.24825614828887
93,0.01,0.2,0.2,64.5373363393624,12.90746726787248
94,0.01,0.2,0.25,4.099346870234405,0.8198693740468811
95,0.01,0.2,0.3,9.336172640739012,1.8672345281478024
96,0.01,0.2,0.35,9.814942517822304,1.962988503564461
97,0.01,0.2,0.4,23.14132848127733,4.6282656962554665
102,0.01,0.3,0.15,357.2666800327694,71.45333600655388
103,0.01,0.3,0.2,101.58294316734208,20.316588633468417
104,0.01,0.3,0.25,19.76314033533089,3.9526280670661778
105,0.01,0.3,0.3,14.285683899375906,2.8571367798751814
106,0.01,0.3,0.35,29.09639844170253,5.819279688340506
107,0.01,0.3,0.4,22.254700353834863,4.450940070766973
112,0.01,0.4,0.15,463.97188015450433,92.79437603090088
113,0.01,0.4,0.2,274.1959676064113,54.839193521282255
114,0.01,0.4,0.25,112.87376989477816,22.574753978955634
115,0.01,0.4,0.3,28.35707613732364,5.6714152274647285
116,0.01,0.4,0.35,70.19887278929453,14.039774557858905
117,0.01,0.4,0.4,116.93485736716312,23.386971473432624
142,0.03,0.15,0.15,117.46465764004284,23.49293152800857
143,0.03,0.15,0.2,25.06622216724412,5.013244433448825
144,0.03,0.15,0.25,1.8777926143070849,0.375558522861417
145,0.03,0.15,0.3,2.9449653336576938,0.5889930667315387
146,0.03,0.15,0.35,2.3051833287586843,0.46103666575173685
147,0.03,0.15,0.4,2.1726937925514034,0.4345387585102807
152,0.03,0.2,0.15,201.1918136720369,40.23836273440738
153,0.03,0.2,0.2,43.777163554896674,8.755432710979335
154,0.03,0.2,0.25,2.005701542925177,0.4011403085850354
155,0.03,0.2,0.3,5.25092914079953,1.0501858281599061
156,0.03,0.2,0.35,5.460626053408606,1.0921252106817212
157,0.03,0.2,0.4,11.692774881683972,2.3385549763367943
162,0.03,0.3,0.15,228.63721695350264,45.72744339070053
163,0.03,0.3,0.2,63.610680694646135,12.722136138929228
164,0.03,0.3,0.25,6.9511784046401965,1.3902356809280394
165,0.03,0.3,0.3,8.619216675291295,1.723843335058259
166,0.03,0.3,0.35,15.714601798640649,3.14292035972813
167,0.03,0.3,0.4,7.075893548519431,1.4151787097038864
172,0.03,0.4,0.15,305.9748025325052,61.19496050650104
173,0.03,0.4,0.2,170.437942714949,34.0875885429898
174,0.03,0.4,0.25,56.6522791293626,11.33045582587252
175,0.03,0.4,0.3,15.310673042344302,3.0621346084688605
176,0.03,0.4,0.35,36.19664935301323,7.239329870602646
177,0.03,0.4,0.4,48.73932611663538,9.747865223327077
202,0.05,0.15,0.15,100.84895920936152,20.169791841872307
203,0.05,0.15,0.2,20.23044896338788,4.046089792677576
204,0.05,0.15,0.25,1.6267422743942168,0.3253484548788434
205,0.05,0.15,0.3,2.487603359004644,0.4975206718009288
206,0.05,0.15,0.35,1.949346178873833,0.3898692357747666
207,0.05,0.15,0.4,1.8770412092227464,0.3754082418445493
212,0.05,0.2,0.15,172.6900383694148,34.53800767388296
213,0.05,0.2,0.2,36.069349974004346,7.21386999480087
214,0.05,0.2,0.25,1.6107983805373167,0.3221596761074634
215,0.05,0.2,0.3,4.234319145371661,0.8468638290743322
216,0.05,0.2,0.35,4.357714060623104,0.8715428121246209
217,0.05,0.2,0.4,8.932017209700941,1.7864034419401884
222,0.05,0.3,0.15,185.94993978900268,37.18998795780054
223,0.05,0.3,0.2,53.210871885025625,10.642174377005126
224,0.05,0.3,0.25,4.504264811560722,0.9008529623121444
225,0.05,0.3,0.3,6.789688184518767,1.3579376369037535
226,0.05,0.3,0.35,11.772773713622618,2.3545547427245235
227,0.05,0.3,0.4,4.558844540039296,0.9117689080078591
232,0.05,0.4,0.15,259.826334766258,51.96526695325161
233,0.05,0.4,0.2,138.12015379908726,27.624030759817455
234,0.05,0.4,0.25,43.29848019857568,8.659696039715136
235,0.05,0.4,0.3,11.526032128103113,2.305206425620623
236,0.05,0.4,0.35,27.708475403488528,5.541695080697706
237,0.05,0.4,0.4,33.96828409223419,6.793656818446839
262,0.08,0.15,0.15,87.85655955122553,17.571311910245107
263,0.08,0.15,0.2,16.868537054974123,3.373707410994825
264,0.08,0.15,0.25,1.4457053464046938,0.2891410692809388
265,0.08,0.15,0.3,2.1608414913483287,0.43216829826966574
266,0.08,0.15,0.35,1.7163279329609469,0.3432655865921894
267,0.08,0.15,0.4,1.641864793143745,0.328372958628749
272,0.08,0.2,0.15,151.79357117298918,30.358714234597837
273,0.08,0.2,0.2,30.42107883026089,6.0842157660521785
274,0.08,0.2,0.25,1.3632831329262856,0.27265662658525713
275,0.08,0.2,0.3,3.5208975875696007,0.7041795175139202
276,0.08,0.2,0.35,3.6128159444739127,0.7225631888947825
277,0.08,0.2,0.4,7.127653689037043,1.4255307378074087
282,0.08,0.3,0.15,155.31275861970792,31.062551723941585
283,0.08,0.3,0.2,46.29084360094442,9.258168720188884
284,0.08,0.3,0.25,3.2549671413261434,0.6509934282652288
285,0.08,0.3,0.3,5.561148576583522,1.1122297153167044
286,0.08,0.3,0.35,9.160620798773046,1.8321241597546092
287,0.08,0.3,0.4,3.2346697366612505,0.6469339473322502
292,0.08,0.4,0.15,225.22668141822533,45.04533628364507
293,0.08,0.4,0.2,116.36085014767836,23.272170029535673
294,0.08,0.4,0.25,34.82138291447818,6.964276582895636
295,0.08,0.4,0.3,9.076959178871345,1.815391835774269
296,0.08,0.4,0.35,21.705856242246384,4.341171248449277
297,0.08,0.4,0.4,25.0829332605405,5.0165866521081
300,0.002,0.3,0.175,427.1920959691217,85.43841919382434
301,0.002,0.3,0.225,238.22651334002725,47.645302668005456
302,0.01,0.25,0.15,239.1897523206339,47.83795046412678
303,0.01,0.25,0.175,158.9111079500753,31.78222159001506
304,0.01,0.25,0.2,81.4122014452515,16.2824402890503
305,0.01,0.25,0.225,60.49367611968267,12.098735223936535
306,0.01,0.25,0.25,8.11798854835065,1.6235977096701302
307,0.01,0.25,0.3,13.452373524935563,2.6904747049871127
308,0.01,0.25,0.35,15.832179613195285,3.166435922639057
309,0.01,0.25,0.4,11.405549651271327,2.2811099302542654
310,0.01,0.3,0.175,195.3812676510367,39.07625353020734
311,0.01,0.3,0.225,98.11068814341093,19.622137628682186
312,0.01,0.35,0.15,323.85095637916834,64.77019127583367
313,0.01,0.35,0.175,254.66863766128023,50.93372753225605
314,0.01,0.35,0.2,156.06852479116736,31.213704958233475
315,0.01,0.35,0.225,176.01946514565012,35.20389302913002
316,0.01,0.35,0.25,86.26923122669271,17.253846245338543
317,0.01,0.35,0.3,26.3419681630214,5.26839363260428
318,0.01,0.35,0.35,45.464296520851946,9.09285930417039
319,0.01,0.35,0.4,111.15660294287495,22.23132058857499
320,0.01,0.4,0.175,338.46431775993784,67.69286355198757
321,0.01,0.4,0.225,244.6991221169627,48.939824423392544
322,0.02,0.2,0.15,227.48457129716328,45.49691425943266
323,0.02,0.2,0.175,110.37673417975672,22.075346835951347
324,0.02,0.2,0.2,50.371866251809,10.074373250361802
325,0.02,0.2,0.225,31.414818943686416,6.282963788737284
326,0.02,0.2,0.25,2.922051513341956,0.5844103026683912
327,0.02,0.2,0.3,7.207630175931015,1.441526035186203
328,0.02,0.2,0.35,7.518158164955492,1.5036316329910984
329,0.02,0.2,0.4,16.21350563992233,3.2427011279844664
330,0.02,0.25,0.15,178.73612605917793,35.74722521183559
331,0.02,0.25,0.175,120.37456136969456,24.074912273938914
332,0.02,0.25,0.2,64.33619333843053,12.867238667686108
333,0.02,0.25,0.225,47.08117634253853,9.416235268507705
334,0.02,0.25,0.25,5.420204096627841,1.0840408193255682
335,0.02,0.25,0.3,9.347395688241027,1.8694791376482056
336,0.02,0.25,0.35,10.45948783923819,2.091897567847638
337,0.02,0.25,0.4,5.799219620880091,1.1598439241760183
338,0.02,0.3,0.15,265.6008162588772,53.120163251775445
339,0.02,0.3,0.175,141.13882287124449,28.227764574248898
340,0.02,0.3,0.2,73.99462175974915,14.79892435194983
341,0.02,0.3,0.225,73.86022872489609,14.772045744979218
